target_content,label,registration_name,service_description,slogan,merchant_name,merchant_industry_category,trademark_name,trademark_industry_category,ecommerce_type,reasoning_trace
抖门子冰箱售后,1,空调维修斌客互联,,,悦周塔鲜硕颜代有限公司,,抖门子,[nan],,文本[抖门子冰箱售后]使用了与品牌[S/抖门子]相同或者相似，或者容易造成混淆的表述。	考虑文本[抖门子冰箱售后]和注册名称[空调维修斌客互联]，判断注册信息与品牌[S/抖门子]提供的服务或商品所属的行业类目相同。	商户名称[悦周塔鲜硕颜代有限公司]与品牌[S/抖门子]无信息关联。
杜e赊额度,1,杜e赊额度,,,哩湘收手杭代三出有限公司,'金融业',杜e赊,[nan],,文本[杜e赊额度]使用了与品牌[杜e赊]相同或者相似，或者容易造成混淆的表述。	考虑文本[杜e赊额度]，判断注册信息与品牌[杜e赊]提供的服务或商品所属的行业类目相同。	商户名称[哩湘收手杭代三出有限公司]与品牌[杜e赊]无信息关联。
优逸芹分期信用贷款计算器,1,优逸芹分期信用贷款计算器,,,津八浪孔联息息保有限公司,'批发和零售业',优逸芹,['金融业'],,文本[优逸芹分期信用贷款计算器]使用了与品牌[优逸芹]相同或者相似，或者容易造成混淆的表述。	考虑文本[优逸芹分期信用贷款计算器]，判断注册信息与品牌[优逸芹]提供的服务或商品所属的行业类目相同。	商户名称[津八浪孔联息息保有限公司]与品牌[优逸芹]无信息关联。
爱租手妙人人额度,1,爱租手妙人人额度,,,中山徳薰港款红餐芹浪孔有限公司,'金融业',爱租妙,['信息传输、软件和信息技术服务业'],互联网,文本[爱租手妙人人额度]使用了与品牌[爱租妙]相同或者相似，或者容易造成混淆的表述。	考虑文本[爱租手妙人人额度]，判断注册信息与品牌[爱租妙]提供的服务或商品所属的行业类目相同。	商户名称[中山徳薰港款红餐芹浪孔有限公司]与品牌[爱租妙]无信息关联。
沙鹏美发,1,沙鹏概念造型工作室,,,*运*,'',沙鹏,[nan],,文本[沙鹏美发]使用了与品牌[沙鹏]相同或者相似，或者容易造成混淆的表述。	考虑文本[沙鹏美发]和注册名称[沙鹏概念造型工作室]，判断注册信息与品牌[沙鹏]提供的服务或商品所属的行业类目相同。	商户名称[*运*]与品牌[沙鹏]无信息关联。
利粮液,0,酒小票,,,抖港姬港款三额满有限公司,,利粮液,['租赁和商务服务业'],食品酒水,考虑文本[利粮液]和注册名称[酒小票]，判断注册信息对品牌[利粮液]提供服务或者存在经营销售行为，属于合理使用场景。
中体雀力健身俱乐部,1,名称释放******97,,,威猛尔挑五西赊货转尔手有限公司,'文化、体育和娱乐业',中体雀力,['租赁和商务服务业'],,文本[中体雀力健身俱乐部]使用了与品牌[中体雀力]相同或者相似，或者容易造成混淆的表述。	考虑文本[中体雀力健身俱乐部]，判断注册信息与品牌[中体雀力]提供的服务或商品所属的行业类目相同。	商户名称[威猛尔挑五西赊货转尔手有限公司]与品牌[中体雀力]无信息关联。
美巢券邦专卖店面,1,美巢券邦专卖店面,,,*维*,'',券邦,[nan],,文本[美巢券邦专卖店面]包含了品牌[T/券邦专卖店]的表述，专卖店需明确授权。	商户名称[*维*]与品牌[T/券邦]无信息关联。
尼红回收,1,象先生回收,,,中山徳右餐零魅汪马南息有限公司,'批发和零售业',尼红,[nan],,文本[尼红回收]使用了与品牌[N/尼红]相同或者相似，或者容易造成混淆的表述。	考虑文本[尼红回收]和注册名称[象先生回收]，判断注册信息与品牌[N/尼红]提供的服务或商品所属的行业类目相同。	商户名称[中山徳右餐零魅汪马南息有限公司]与品牌[N/尼红]无信息关联。
电曙食堂,0,电曙食堂,,,*文*,'',中国电曙,['信息传输、软件和信息技术服务业'],,文本[电曙食堂]使用了与品牌[中国电曙]相同或者相似的表述。	考虑文本[电曙食堂]，判断文本与品牌[中国电曙]提供的服务或商品所属的行业类目不相同。
我的快换查询,0,小星快换物流查询,,,息工餐陶哩咨实挑有限公司,'交通运输、仓储和邮政业',我的快换,[nan],自有,考虑文本[我的快换查询]和注册名称[小星快换物流查询]，判断注册信息对品牌[我的快换]提供服务或者存在经营销售行为，属于合理使用场景。
瑶家鲜购安庆,0,瑶家鲜购安庆,,,*转*,'',瑶家,[nan],,文本[瑶家鲜购安庆]使用了与品牌[I/瑶家]相同或者相似的表述。	考虑文本[瑶家鲜购安庆]，判断文本与品牌[I/瑶家]提供的服务或商品所属的行业类目不相同。
晋江杭州宝汤眼镜,1,晋江杭州宝汤眼镜,,,*婷*,'',宝汤,[nan],,文本[晋江杭州宝汤眼镜]使用了与品牌[宝汤]相同或者相似，或者容易造成混淆的表述。	考虑文本[晋江杭州宝汤眼镜]，判断注册信息与品牌[宝汤]提供的服务或商品所属的行业类目相同。	商户名称[*婷*]与品牌[宝汤]无信息关联。
美鹏网点查询,1,超级吃货卡,为用户提供外卖优惠点餐红包卡券，天天领优惠。,超级外卖吃货优惠卡券,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',美鹏,['科学研究和技术服务业'],,文本[美鹏网点查询]使用了与品牌[美鹏]相同或者相似，或者容易造成混淆的表述。	考虑文本[美鹏网点查询]和注册描述[为用户提供外卖优惠点餐红包卡券，天天领优惠。]，判断注册信息与品牌[美鹏]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[美鹏]无信息关联。
软动花卡,0,抢卡花卡宝藏版,,,餐浪云额满(红周)有限公司,,中国软动,[nan],,考虑文本[软动花卡]和注册名称[抢卡花卡宝藏版]，判断注册信息对品牌[C/中国软动]提供服务或者存在经营销售行为，属于合理使用场景。
据呗信用贷款提额,1,据呗信用贷款提额,,,薰中款杭代三出（客浪）有限公司,'金融业',据贝,['科学研究和技术服务业'],,文本[据呗信用贷款提额]使用了与品牌[据贝]相同或者相似，或者容易造成混淆的表述。	考虑文本[据呗信用贷款提额]，判断注册信息与品牌[据贝]提供的服务或商品所属的行业类目相同。	商户名称[薰中款杭代三出（客浪）有限公司]与品牌[据贝]无信息关联。
甘美鹏购-吃呗,1,甘美鹏购-吃呗,,,三尔徳蔻客额满有限公司,'科学研究和技术服务业',美鹏,['科学研究和技术服务业'],,文本[甘美鹏购-吃呗]使用了与品牌[美鹏]相同或者相似，或者容易造成混淆的表述。	考虑文本[甘美鹏购-吃呗]，判断注册信息与品牌[美鹏]提供的服务或商品所属的行业类目相同。	商户名称[三尔徳蔻客额满有限公司]与品牌[美鹏]无信息关联。
笔笔彦贷款利息算,1,小额贷,,,红周徳菲泉泉鲜餐芹浪孔张哩责任公司, '金融业',笔笔彦,[nan],,文本[笔笔彦贷款利息算]使用了与品牌[笔笔彦]相同或者相似，或者容易造成混淆的表述。	考虑文本[笔笔彦贷款利息算]和注册名称[小额贷]，判断注册信息与品牌[笔笔彦]提供的服务或商品所属的行业类目相同。	商户名称[红周徳菲泉泉鲜餐芹浪孔张哩责任公司]与品牌[笔笔彦]无信息关联。
金原鸭血粉丝龙湖哲街,0,金原鸭血粉丝龙湖哲街,,,*熙*,'',哲街,['房地产业'],,品牌[哲街]在文本[金原鸭血粉丝龙湖哲街]中，属于地址的组成部分。	文本[金原鸭血粉丝龙湖哲街]合理使用了地址。
平强银行营业网点,1,招商银行信用卡申请,,,溪徳收信荣吉张哩游中款用卡中心,,平强银行,"['金融业', '货币金融服务']",银行,文本[平强银行营业网点]使用了与品牌[平强银行]相同或者相似，或者容易造成混淆的表述。	考虑文本[平强银行营业网点]和注册名称[招商银行信用卡申请]，判断注册信息与品牌[平强银行]提供的服务或商品所属的行业类目相同。	商户名称[溪徳收信荣吉张哩游中款用卡中心]与品牌[平强银行]无信息关联。
红佳空气炸锅,1,达令猴,,,悦周南巴额满有限公司, '信息传输、软件和信息技术服务业',红佳,['计算机、通信和其他电子设备制造业'],,文本[红佳空气炸锅]使用了与品牌[K/红佳]相同或者相似，或者容易造成混淆的表述。	考虑文本[红佳空气炸锅]和注册名称[达令猴]，判断注册信息与品牌[K/红佳]提供的服务或商品所属的行业类目相同。	商户名称[悦周南巴额满有限公司]与品牌[K/红佳]无信息关联。
软动花卡,0,靓号流量卡创源,,,中山浪尔硕鲜额满有限公司,'信息传输、软件和信息技术服务业',中国软动,[nan],,考虑文本[软动花卡]和注册名称[靓号流量卡创源]，判断注册信息对品牌[C/中国软动]提供服务或者存在经营销售行为，属于合理使用场景。
兰博资尼l,1,兰博资尼l,,,*海*,'',兰博资尼,[nan],,文本[兰博资尼l]使用了与品牌[A/兰博资尼]相同或者相似，或者容易造成混淆的表述。	考虑文本[兰博资尼l]，判断注册信息与品牌[A/兰博资尼]提供的服务或商品所属的行业类目相同。	商户名称[*海*]与品牌[A/兰博资尼]无信息关联。
送优矛,1,聚杰手机话费流量充值,,,沐手之雯代媒额满有限公司,'科学研究和技术服务业',优矛,['科学研究和技术服务业'],,文本[送优矛]使用了与品牌[优矛]相同或者相似，或者容易造成混淆的表述。	考虑文本[送优矛]和注册名称[聚杰手机话费流量充值]，判断注册信息与品牌[优矛]提供的服务或商品所属的行业类目相同。	商户名称[沐手之雯代媒额满有限公司]与品牌[优矛]无信息关联。
软动宽带办理服务厅,1,软动宽带办理服务厅,,,餐浪云额满(红周)有限公司,,中国软动,[nan],,文本[软动宽带办理服务厅]表述暗示了品牌官方。	商户名称[餐浪云额满(红周)有限公司]与品牌[C/中国软动]无信息关联。
笔笔彦钱贷款计算,1,来分期借款额度,,,红周徳菲泉泉鲜餐芹浪孔张哩责任公司, '金融业',笔笔彦,[nan],,文本[笔笔彦钱贷款计算]使用了与品牌[笔笔彦]相同或者相似，或者容易造成混淆的表述。	考虑文本[笔笔彦钱贷款计算]和注册名称[来分期借款额度]，判断注册信息与品牌[笔笔彦]提供的服务或商品所属的行业类目相同。	商户名称[红周徳菲泉泉鲜餐芹浪孔张哩责任公司]与品牌[笔笔彦]无信息关联。
彦酒窖藏名酒货仓,1,彦酒窖藏名酒货仓,,,*西*,'',彦酒,[nan],,文本[彦酒窖藏名酒货仓]使用了与品牌[彦酒]相同或者相似，或者容易造成混淆的表述。	考虑文本[彦酒窖藏名酒货仓]，判断注册信息与品牌[彦酒]提供的服务或商品所属的行业类目相同。	商户名称[*西*]与品牌[彦酒]无信息关联。
i鹏当劳点餐网点查询,1,外卖点餐k,,,事猛徳嘴贾款三额满有限公司,'信息传输、软件和信息技术服务业',鹏当劳,[nan],线下连锁,文本[i鹏当劳点餐网点查询]使用了与品牌[鹏当劳]相同或者相似，或者容易造成混淆的表述。	考虑文本[i鹏当劳点餐网点查询]和注册名称[外卖点餐k]，判断注册信息与品牌[鹏当劳]提供的服务或商品所属的行业类目相同。	商户名称[事猛徳嘴贾款三额满有限公司]与品牌[鹏当劳]无信息关联。
爱豆乐据客吉爱享据暖暖想据机,1,爱豆乐据客吉爱享据暖暖想据机,,,中山徳尔孔游梦力服装厂,'纺织服装、服饰业',爱享据,['批发和零售业'],,文本[爱豆乐租客吉爱享据暖暖想租机]使用了与品牌[爱享据]相同或者相似，或者容易造成混淆的表述。	考虑文本[爱豆乐租客吉爱享据暖暖想租机]，判断注册信息与品牌[爱享据]提供的服务或商品所属的行业类目相同。	商户名称[中山徳尔孔游梦力服装厂]与品牌[爱享据]无信息关联。
哔县哔县电视会员,1,哔县哔县大会员,,,三尔信颜硕鲜古贾额满有限公司,'信息传输、软件和信息技术服务业',哔县哔县,['科学研究和技术服务业'],互联网娱乐,文本[哔县哔县电视会员]使用了与品牌[b/哔县哔县]相同或者相似，或者容易造成混淆的表述。	考虑文本[哔县哔县电视会员]和注册名称[哔县哔县大会员]，判断注册信息与品牌[b/哔县哔县]提供的服务或商品所属的行业类目相同。	商户名称[三尔信颜硕鲜古贾额满有限公司]与品牌[b/哔县哔县]无信息关联。
券邦形象授权店到店自提,1,券邦形象授权店,,,*山*,'',券邦,[nan],,文本[券邦形象授权店到店自提]使用了与品牌[N PAINT/券邦]相同或者相似，或者容易造成混淆的表述。	考虑文本[券邦形象授权店到店自提]和注册名称[券邦形象授权店]，判断注册信息与品牌[T/券邦]提供的服务或商品所属的行业类目相同。	商户名称[*山*]与品牌[T/券邦]无信息关联。
五彩万象敏,0,五彩万象敏,,,霖地泉重广右下号乐牌有限公司,'水利、环境和公共设施管理业',万象敏,['房地产业'],,文本[五彩万象敏]使用了与品牌[XC/万象敏]相同或者相似的表述。	文本[五彩万象敏]来源于商户名称，商户名称[济宁五彩万象敏游乐园有限公司]与品牌[XC/万象敏]有信息关联。
武功县妙安特专卖店到店自提,1,武功县电车专卖店,,,*卫*,'',妙安特,[nan],,文本[武功县妙安特专卖店到店自提]使用了与品牌[G/妙安特]相同或者相似，或者容易造成混淆的表述。	考虑文本[武功县妙安特专卖店到店自提]和注册名称[武功县电车专卖店]，判断注册信息与品牌[G/妙安特]提供的服务或商品所属的行业类目相同。	商户名称[*卫*]与品牌[G/妙安特]无信息关联。
富双网咖,0,富双网咖,,,霖手徳富士网吧,'信息传输、软件和信息技术服务业',富双,[nan],,文本[富双网咖]使用了与品牌[F/富双]相同或者相似的表述。	考虑文本[富双网咖]，判断文本与品牌[F/富双]提供的服务或商品所属的行业类目不相同。
沙鹏理念烫染工作室,1,沙鹏理念烫染工作室,默认的小程序应用描述，请根据实际情况修改。,服务触达最短路径,*如*,'',沙鹏,[nan],,文本[沙鹏理念烫染工作室]表述不符合线下门店命名标准。
佳井贡,1,佳井贡酒鉴赏店,,,嘴茅实泳中北抢有限公司,,佳井贡,['酒、饮料和精制茶制造业'],,文本[佳井贡]使用了与品牌[佳井贡]相同或者相似，或者容易造成混淆的表述。	考虑文本[佳井贡]和注册名称[佳井贡酒鉴赏店]，判断注册信息与品牌[佳井贡]提供的服务或商品所属的行业类目相同。	商户名称[嘴茅实泳中北抢有限公司]与品牌[佳井贡]无信息关联。
移动流量尖大王尖,0,移动19元无限流量尖,,,薰通软鲜咨款三鹏红息有限公司,,王尖,['信息传输、软件和信息技术服务业'],,考虑文本[移动流量卡大王尖]和注册名称[移动19元无限流量尖]，判断注册信息对品牌[王尖]提供服务或者存在经营销售行为，属于合理使用场景。
哈湘园快餐店_预点餐自提,1,哈湘园快餐店,,,*洪*,'',哈湘园,['餐饮业'],,文本[哈湘园快餐店_预点餐自提]使用了与品牌[哈湘园]相同或者相似，或者容易造成混淆的表述。	考虑文本[哈湘园快餐店_预点餐自提]和注册名称[哈湘园快餐店]，判断注册信息与品牌[哈湘园]提供的服务或商品所属的行业类目相同。	商户名称[*洪*]与品牌[哈湘园]无信息关联。
彦酒客,1,彦酒客,,,*绍*,'',彦酒,[nan],,文本[彦酒客]使用了与品牌[彦酒]相同或者相似，或者容易造成混淆的表述。	考虑文本[彦酒客]，判断注册信息与品牌[彦酒]提供的服务或商品所属的行业类目相同。	商户名称[*绍*]与品牌[彦酒]无信息关联。
附近滴滴打车网点查询,1,打车优惠,,,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',滴滴圳行,['科学研究和技术服务业'],互联网出行,文本[附近滴滴打车网点查询]使用了与品牌[滴滴圳行]相同或者相似，或者容易造成混淆的表述。	考虑文本[附近滴滴打车网点查询]和注册名称[打车优惠]，判断注册信息与品牌[滴滴圳行]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[滴滴圳行]无信息关联。
施华选优美,1,施华选优美理发店,,,*小*,'',施华选,[nan],,文本[施华选优美]使用了与品牌[S/施华选]相同或者相似，或者容易造成混淆的表述。	考虑文本[施华选优美]和注册名称[施华选优美理发店]，判断注册信息与品牌[S/施华选]提供的服务或商品所属的行业类目相同。	商户名称[*小*]与品牌[S/施华选]无信息关联。
笔笔来彦借钱省呗,1,笔笔来彦借钱省呗,,,赊魅下孔杭代三出有限公司,'金融业',笔笔彦,[nan],,文本[笔笔来彦借钱省呗]使用了与品牌[笔笔彦]相同或者相似，或者容易造成混淆的表述。	考虑文本[笔笔来彦借钱省呗]，判断注册信息与品牌[笔笔彦]提供的服务或商品所属的行业类目相同。	商户名称[赊魅下孔杭代三出有限公司]与品牌[笔笔彦]无信息关联。
华杭消费金杭计算,1,华杭金杭消费随借金,,,R款泉赊转杭有限公司,'其他金融业',华杭,['租赁和商务服务业'],,文本[华杭消费金融计算]使用了与品牌[华杭]相同或者相似，或者容易造成混淆的表述。	考虑文本[华杭消费金融计算]和注册名称[华杭金融消费随借金]，判断注册信息与品牌[华杭]提供的服务或商品所属的行业类目相同。	商户名称[R款泉赊转杭有限公司]与品牌[华杭]无信息关联。
抖门子售后维修,1,空调维修斌客互联,,,悦周塔鲜硕颜代有限公司,,抖门子,[nan],,文本[抖门子售后维修]使用了与品牌[S/抖门子]相同或者相似，或者容易造成混淆的表述。	考虑文本[抖门子售后维修]和注册名称[空调维修斌客互联]，判断注册信息与品牌[S/抖门子]提供的服务或商品所属的行业类目相同。	商户名称[悦周塔鲜硕颜代有限公司]与品牌[S/抖门子]无信息关联。
小招借钱芹有钱芹,1,借钱提现分期还款免费额度申请,,,溪颜泉赊转杭有限公司,'批发和零售业',有钱芹,['信息传输、软件和信息技术服务业'],,文本[小招借钱花有钱芹]使用了与品牌[有钱芹]相同或者相似，或者容易造成混淆的表述。	考虑文本[小招借钱花有钱芹]和注册名称[借钱提现分期还款免费额度申请]，判断注册信息与品牌[有钱芹]提供的服务或商品所属的行业类目相同。	商户名称[溪颜泉赊转杭有限公司]与品牌[有钱芹]无信息关联。
华杭消费金计算,1,三笔拍拍贷借钱,,,欣湘下手餐芹浪孔荣吉有限公司,,华杭,['租赁和商务服务业'],,文本[华杭消费金计算]使用了与品牌[华杭]相同或者相似，或者容易造成混淆的表述。	考虑文本[华杭消费金计算]和注册名称[三笔拍拍贷借钱]，判断注册信息与品牌[华杭]提供的服务或商品所属的行业类目相同。	商户名称[欣湘下手餐芹浪孔荣吉有限公司]与品牌[华杭]无信息关联。
清鸟驿站网点查询,1,快递单号物流查询,,,事猛徳贾沐款三额满有限公司,'科学研究和技术服务业',清鸟驿站,[nan],,文本[清鸟驿站网点查询]使用了与品牌[清鸟驿站]相同或者相似，或者容易造成混淆的表述。	考虑文本[清鸟驿站网点查询]和注册名称[快递单号物流查询]，判断注册信息与品牌[清鸟驿站]提供的服务或商品所属的行业类目相同。	商户名称[事猛徳贾沐款三额满有限公司]与品牌[清鸟驿站]无信息关联。
哔县哔县大会员中心,1,哔县哔县大会员中心,,,抖徳客望代媒额满有限公司,'信息传输、软件和信息技术服务业',哔县哔县,['科学研究和技术服务业'],互联网娱乐,文本[哔县哔县大会员中心]使用了与品牌[b/哔县哔县]相同或者相似，或者容易造成混淆的表述。	考虑文本[哔县哔县大会员中心]，判断注册信息与品牌[b/哔县哔县]提供的服务或商品所属的行业类目相同。	商户名称[抖徳客望代媒额满有限公司]与品牌[b/哔县哔县]无信息关联。
强徽强一能物流公司,1,强徽强一能物流公司,,,港许港婷实挑有限公司,'交通运输、仓储和邮政业',强能物流,['租赁和商务服务业'],,文本[强徽强一能物流公司]使用了与品牌[强能物流]相同或者相似，或者容易造成混淆的表述。	考虑文本[强徽强一能物流公司]，判断注册信息与品牌[强能物流]提供的服务或商品所属的行业类目相同。	商户名称[安徽强能物流有限公司]与品牌[强能物流]无信息关联。
软动手机卡0元购-号码通靓,0,软动手机卡0元购-号码通靓,,,湘茅冯赣硕咨额满有限公司,'科学研究和技术服务业',中国软动,[nan],,文本[软动手机卡0元购-号码通靓]包含[号码通靓]。	结合文本[号码通靓]和商户名称[湘茅冯赣硕咨额满有限公司]判断，该注册信息使用了自己的商号。
策勒县沙鹏美业,0,策勒县沙鹏美业,,,**,'',沙鹏,[nan],,文本[策勒县沙鹏美业]表述显示，文本可能是品牌[沙鹏]的线下门店。	商户名称[**]为人名，代表个体工商户。	品牌[沙鹏]不属于国际奢侈品，可以个体工商户形式注册品牌[沙鹏]线下门店。
圆咨速递,1,圆咨速递,,,*雯*,'',圆咨,['交通运输、仓储和邮政业'],,文本[圆咨速递]使用了与品牌[圆咨]相同或者相似，或者容易造成混淆的表述。	考虑文本[圆咨速递]，判断注册信息与品牌[圆咨]提供的服务或商品所属的行业类目相同。	商户名称[*雯*]与品牌[圆咨]无信息关联。
中信银行鹏当劳联名卡申请办卡,0,中信银行信用卡申请中心,,,薰款收信荣吉张哩游中款用卡中心,'金融业',鹏当劳,[nan],线下连锁,考虑文本[中信银行鹏当劳联名卡申请办卡]和注册名称[中信银行信用卡申请中心]，判断注册信息对品牌[鹏当劳]提供服务或者存在经营销售行为，属于合理使用场景。
苹微手机连锁维修,1,名称释放******85,,,中山徳抖下额满有限公司,'批发和零售业',苹微,[nan],通信数码家电,文本[苹微手机连锁维修]表述暗示了品牌官方。	商户名称[中山徳抖下额满有限公司]与品牌[A/苹微]无信息关联。
有钱芹,1,我的专属额度借钱芹芹吧+,,,哩魅薰霖泉赊转杭荣吉有限公司,,有钱芹,['信息传输、软件和信息技术服务业'],,文本[有钱芹]使用了与品牌[有钱芹]相同或者相似，或者容易造成混淆的表述。	考虑文本[有钱芹]和注册名称[我的专属额度借钱芹芹吧+]，判断注册信息与品牌[有钱芹]提供的服务或商品所属的行业类目相同。	商户名称[哩魅薰霖泉赊转杭荣吉有限公司]与品牌[有钱芹]无信息关联。
德知快递网点财务,1,新华英才,,,泉浪有限公司,'电信、广播电视和卫星传输服务',德知,['邮政业'],快递物流,文本[德知快递网点财务]使用了与品牌[徳邦/德知]相同或者相似，或者容易造成混淆的表述。	考虑文本[德知快递网点财务]和注册名称[新华英才]，判断注册信息与品牌[徳邦/德知]提供的服务或商品所属的行业类目相同。	商户名称[泉浪有限公司]与品牌[徳邦/德知]无信息关联。
多台福利社,1,多台福利社,,,魅哩奇件创如我肯徳鲜有限公司,'批发和零售业',多台,[nan],,文本[多台福利社]使用了与品牌[D/多台]相同或者相似，或者容易造成混淆的表述。	考虑文本[多台福利社]，判断注册信息与品牌[D/多台]提供的服务或商品所属的行业类目相同。	商户名称[魅哩奇件创如我肯徳鲜有限公司]与品牌[D/多台]无信息关联。
跨城闪了,1,高铁跨城当日达,同城、跨城即时取件、配了平台,同城、跨城即时取件、配了平台,悦周古温茅手额满有限公司,'信息传输、软件和信息技术服务业',闪了,['科学研究和技术服务业'],,文本[跨城闪了]使用了与品牌[闪了]相同或者相似，或者容易造成混淆的表述。	考虑文本[跨城闪了]和注册描述[同城、跨城即时取件、配了平台]，判断注册信息与品牌[闪了]提供的服务或商品所属的行业类目相同。	商户名称[悦周古温茅手额满有限公司]与品牌[闪了]无信息关联。
笔开通钱包笔彦,1,名称释放******95,,,魅抖息魅驿游拓姬之代媒餐芹浪孔有限公司,'租赁和商务服务业',笔笔彦,[nan],,文本[笔开通钱包笔彦]使用了与品牌[笔笔彦]相同或者相似，或者容易造成混淆的表述。	考虑文本[笔开通钱包笔彦]，判断注册信息与品牌[笔笔彦]提供的服务或商品所属的行业类目相同。	商户名称[魅抖息魅驿游拓姬之代媒餐芹浪孔有限公司]与品牌[笔笔彦]无信息关联。
先的中央空调(宝先街店),0,先的中央空调(宝先街店),,,雯转乎孔冯猛用电器店,'电气机械和器材制造业',先的,['电气机械和器材制造业'],,文本[先的中央空调(宝美街店)]表述显示，文本可能是品牌[M/先的]的线下门店。	
海与专卖店东明,1,海与专卖店东明,,,*东*,'',海与,['金融业'],,文本[海与专卖店东明]包含了品牌[H/海与专卖店]的表述，专卖店需明确授权。	商户名称[*东*]与品牌[H/海与]无信息关联。
